"input_term","canonical_material","iso_group","unit_hp_in3_per_hp","mcmaster_key","wieland_key "
"316","300 Series Stainless Steel","M1","0.85","303 Stainless Steel",""
"6061","Aluminum 6061-T6","N1","1.4","aluminum MIC6","AL"
"7075","Aluminum 7075-T6","N2","1.2","aluminum MIC6","AL"
"52100","52100 Bearing Steel","P3","0.65","5200",""
"303 Stainless Steel","303 Stainless Steel","M1","0.95","303 Stainless Steel",""
"A2","A2 Tool Steel","P3","0.6","Tool Steel A2",""
"aluminum 5083","Aluminum 5083","N1","1.3","aluminum 5083","AL"
"aluminum MIC6","Aluminum MIC-6","N1","1.4","aluminum MIC6","AL"
"Carbide","Carbide","H1","0.4","Carbide",""
