,hours
programming,18.5
wedm,2.0
sinker,0.0
electrodes,8.0
grind,202.75
jig,0.0
lap,8.0
inspection,11.6
cmm_programming,6.0
finish,0.8
saw,0.15
fixture,12.0
assembly,2003.5
milling,0.0
turning,0.0
